夏春秋,吴耀冬(本名)
郑丹瑞,Lawrence Cheng Tan-Shui
安雅,吴安雅(本名)
楚原,张宝坚 / 秦雨(笔名)
阿雅,柳翰雅(本名)
曾瑾昌,曾谨昌
梁智强,梁智強
成奎安,大傻 (昵称)
葛民辉,软天师（昵称）、阿鼻（昵称）
泰迪·罗宾,关维鹏
闫学晶,阎学晶
詹森,詹益成（本名）
杜夫·龙格尔,龙格尔 / 道夫·龙格尔 / 杜夫·朗格林 / 多夫·伦德格伦 / 杜夫·朗格
诺拉·茨切纳,诺拉·提辛纳
森美,梁志健(本名)
雷·罗马诺,瑞·罗门那
但丁,阿利盖利·但丁
萧蔷,萧秀霞(本名)
王喜,邝毅怡，阿喜
征长张,张长征
泰勒·莱伯恩,泰勒·拉拜
LL Cool J,LL酷杰
布兰特妮·斯诺,布里坦尼·斯洛 / 布里塔尼·斯诺
麦切·赫威,麦切·斯科特·赫威(本名)
海瑟·格拉汉姆,希芙嘉咸(港)
亚当·迪马克,亚当·迪玛科
迪伦·麦克德莫特,迪伦麦狄蒙 / 迪兰·麦克德莫特
赛琳娜·戈麦斯,S妞 / 傻脸娜 / 割麦子
九孔,吕孔维(本名)
澎恰恰,彭樟灿(本名) / 澎哥
陈怡蓉,陳怡蓉
王思懿,王心静
蒋一盟,蒋一萌
刘晓晔,刘晓烨
刘永,刘添爵(本名) / 刘勇
宗晓军,宗晓君
田娃,田逗
维塔斯,维塔利·弗拉达索维奇·格拉乔夫(本名)
王劲松,气壳
扈耀之,扈强
张龄心,张佳蓓(原名)
李佳航,张益达(昵称)
韩雪,雪雪 / 雪小宁 / 雪姐
连晋,连伟健
来喜,许玉军(本名)
钱枫,钱麓安(本名) / 鸵鸟(昵称) / 大头(昵称) / 枫哥(昵称)
宋梓侨,宋梓乔 / 宋海梅
唐溢,唐子越
乌比·戈德堡,乌比·哥德堡
罗莎里奥·道森,罗莎里奥·唐森
乔尔·麦克哈尔,姐夫(昵称)
罗宾·威廉姆斯,罗宾·麦洛林·威廉斯(本名) / 罗宾·威廉斯
小么哥,张勇
阿速,吕速鹏
王太利,王筷筷(昵称) / 筷子老王(昵称)
颖儿,刘颖
张馨予,张燕(本名) / 燕燕(昵称)
许绍洋,许韶洋
宋金笑,宋佳人
吴千语,吴欣容(本名)
隋凯,Mike隋
关颖,陈品颖(本名)
蓝燕,英皇柏芝 / 小妖
刘添月,刘嘉悦
施予斐,施艳飞
王双宝,王双保
乔任梁,小米(昵称) / 梁梁(昵称) / 晴天娃娃(昵称)
郑京虎,郑敬和 / 郑京浩 / 郑京宝
姚橹,姚鲁
宁静,静姐
王皓,王韵晰
姜武,姜小兵(原名)
董立范,董立凡 / 董丽范
张宇菲,宇菲
托尔·林德哈特,驼儿 (本名)
克里斯汀·米利欧缇,老妈
金·波德尼亚,金·伯德尼亚
凯蒂娅·温特,卡蒂亚·温特
王同辉,王晖 (本名)
聂远,师父
胡夏,胡小夏 / 夏夏
成泰燊,成太生 / 成太森
欧弟,欧汉声(本名)
李佳璇,李敏(本名) / 李敏诗(曾用名)
洛森,契子
张熙媛,张帆
曹云金,金子、大金子
李承炫,李承铉
小香玉,陈百玲(本名)
凯特·哈德森,姬蒂·韓遜(港)
乔恩·哈姆,强·哈姆 / 乔·哈姆
华少,胡乔华
泽尔妲·威廉斯,泽尔妲·威廉姆斯 / 塞尔达·威廉姆斯
马修·韦纳,马修·维纳
法提麦·雅琦,雅琦 / 王雅琦
扎克·加利凡纳基斯,扎克·加利费安纳基斯
刘頔,二锅头 嬷嬷茶
斯蒂芬·切波斯基,史蒂夫·卓博斯基 / 史提芬·查保基
郭大雷,郭雷
丹·卡斯卡拉里,唐柯斯卡雷利
瑞茜·威瑟斯彭,瑞斯·威瑟斯彭 / 莉丝韦花斯本 / 瑞西维丝彭 / 瑞丝薇斯朋(台)
李秋韵,源远(艺名)
翟凌,兽兽(昵称)
成东日,胜东日
波瑠,南波瑠
赵英俊,赵健(本名) / 潇洒哥(别名)
淳于珊珊,淳于山
赵犇,赵贲 / 赵奔
张翰,张瀚
金敏贞,金玟廷
许雅涵,棠棠（昵称）
章雯淇,章萍（曾用名） / 章西西 （曾用名）
大东骏介,大东俊介
柏安妮,溜冰皇后
托比·霍珀,托布·胡珀
索拉·伯奇,莎拉·布姬 / 索拉·布奇
埃德加·爱伦·坡 ,埃德加·爱伦·坡
三浦翔平,日版释小龙
陈颖妍,Win-yin Chan  / Wing-Yin Chan  / Ying-yan Chen
李炜尚,李尚义
傅天颖,奀妹(昵称) / 傅中琴(本名)
王钟,姜佩君(本名)
乔舒亚·杰克逊,约书亚·杰克逊
杰西·艾森伯格,杰斯·艾森伯格
波西亚·德·罗西,波莎·德罗西
片冈爱之助,片岡愛之助
乔纳森·里贝斯曼,乔纳森·理贝斯曼
饭岛爱,大久保松惠
豪梅·巴拿盖鲁,豪梅·巴拉格罗
亚当·温加德,亚当·温佳德
大堀惠,金泽惠
中村义洋,中村義洋
班诺·福曼,本诺·福尔曼 / 班诺欧·福曼
布鲁斯·坎贝尔 ,布鲁斯·坎贝尔
伊藤润二,二子（昵称）
申相玉,신상옥
山姆·雷米,萨姆·莱米
比尔·马厄,比尔·马尔 / 比尔·马赫
苏菲·蒙克,索菲亚·蒙克
何澍培,何树培
雪梨,严慧明
鲁俊谷,王振仰(本名) / 鲁俊(艺名)
杨帆,杨忠熹(本名)
冯淬帆,冯萃帆，阿紧
雷鸣,雷明
徐虾,徐蝦 / 徐柏霖 / 徐栢林
葛小宝,葛金城
胡枫,胡继修
甄珍,章家珍(原名) / 章家甄(现名)
司徒安,江游
刘丹,刘庆基(原名) / 丹爷 / 叉烧炳
谢天华,Tin-Wah Tse
商天娥,娥姐 / 肥娥 / 商天鹅 / 癫娥 / 二奶奶 / 酒埕师奶 / 飞天鹅 / 大小姐
兰帕德·帕瓦,兰贝托·巴瓦
约翰·塞尔斯,约翰•塞勒斯
夏洛特·兰普林,夏绿蒂·兰普琳
布莱恩·海尔格兰德,布莱恩海格兰
倪匡,倪聪
杰森·康纳利,杰森·康纳瑞
路易吉·柯斐,路易吉·科齐
赫尔穆特·贝格,赫尔穆特·贝格尔 / 海尔墨特·伯吉
塚本晋也,冢本晋也
斯科特·格伦,斯科特·格林
耶尔迈斯托·加斯塔尔迪,埃内斯托·加斯塔尔迪
艾德薇姬·芬妮齐,爱云芬芝
珍妮·赖特,珍妮弗·赖特
亚德里安·帕斯达,亚德里安·帕斯达尔
凯瑟琳·毕格罗,凯瑟琳·比奇洛 / 凯瑟琳·碧露
波利斯·卡洛夫,鲍里斯·卡洛夫
瓦伦蒂娜·格特斯,华伦天娜·歌蒂丝
芭芭拉·布薛特,芭芭拉·宝钗
H·P·洛夫克拉夫特,霍华德·菲利普·洛夫克拉夫特 / H.P.勒福克拉褔
大卫·柯南伯格,大卫·柯能堡 / 戴维·克罗南伯格
克莱夫·巴克,克里夫·巴克
罗杰·科曼,罗杰·科尔曼
仲谷升,仲谷昇
宇野重吉,寺尾信夫
中村吉右卫门,波野辰次郎（本名） 中村吉右衛門 (2代目)
三浦友和,三浦稔(本名)
亚历桑德罗·佐杜洛夫斯基,杨德洛维斯基
南田洋子,加藤 洋子(本名)
泰伦斯·费希,特伦斯·费希尔
乌多·奇尔,乌多·基尔
托马斯·克莱舒曼,托马斯·克莱彻曼 / 托马斯·克列奇曼
赫尔佳·丽列,海尔格·丽娜·斯特恩
刘力扬,咩咩、萝卜（昵称）
艾丽卡·布兰克,叶丽卡·布隆
肖轶,肖忆郡(曾用名)
威廉姆·卡索,威廉•卡斯尔
王小毅,王毅
李威,李翊玮（本名）
洪辰,茜茜 滚滚(昵称)
马少骅,马绍骅
高云翔,高云祥
孟瑶,孟尧(本名)
吕聿来,吕玉来(原名)
谭耀文,阿谭
宝儿,德里差达·贝差拉德
林芊妤,林婉霞
周家怡,阿Cat （昵称）
龚慈恩,龚施茜(艺名) / 公仔(昵称)
邵音音,倪小雁(本名)
卢西奥·弗尔兹,露西欧·富尔西
翟子陌,翟文斌
朱雨辰,小雨(昵称)
刘冠麟,刘冠霖
浦蒲,蒲燕利(原名)
黄军,垃圾制作者 / 狗逼玩意儿 / 拿国家津贴的傻屌 / 操你妈逼 / 烂屌狗公
李艳冰,李沐晴
艾莎·阿基多,亚细亚·阿根托 / 艾莎·阿珍托
达里奥·阿基多,达里欧·阿基多 / 达里欧·阿吉恩图  / 达里奥·阿金图
吴妍妍,吴岩妍
刘青,贱婊 / 娱乐圈公厕 / 狗逼
过华,杨国华(本名)
马文龙,马敬涵
尔玛依娜 ,余红艳 / 天仙妹妹
戴阳天,戴向宇 / 阳阳 / 小戴
王李丹妮,丹妮公主 / 小猫 / 巫女 / 寒小七 / 女王 / 王李丹(本名)
伍麟凯,伍冠峯
路晨,小妞，惠紫
小彩旗,杨彩旗 / 魏彩绮
阚清子,阚清子
刘锡明,刘锡铭
张诗絮,小絮（昵称）
刘羽琦,大7 / 77 / 7宝
张二,张立军
王柯,王柯楠
蔡文静,小静仔(昵称)
乌雅心颜,闫兴雪(本名)
张钧涵,张均涵
徐汶萱,徐凌雪
郑惠馨,团团
杜雨辰,杜小米
叶思浵,叶思彤
丁汇宇,丁卓(别名)
李曼筠,李玛姬
关智斌,关至靓(昵称)
彭禺厶,彭鸿禹
佟丽娅,丫丫(昵称)
刘著,著姐
徐立,米粒(昵称)
乔舒华·莱纳德,乔舒亚·列奥纳德
曾江,曾荣江，曾贯一
阿牛,陈庆祥 (本名)
田华,刘天花 (本名)
王翔弘,王驾麟(本名)
薛晨飞,阿飞
约翰·盖汀斯,约翰·贾丁斯
乔治·克鲁尼,佐治·古尼
吕平滢,吕妍昕
麦子,王平超(本名)
徐洁儿,徐致菁(本名) / 徐婕儿(艺名)
大卫·帕斯特尔,大卫·巴斯特罗
斯科特·斯比德曼,斯科特·斯皮特曼
卡特·詹金斯,卡特·杰肯斯
英格丽德·加西亚·约翰逊,英格丽德·加西亚·强森
丹尼·特雷霍,丹尼·特乔
玉城裕规,小玉
马修·塞特尔,马修·谢图
白杨,杨成芳(本名) / 杨君莉(又名)
瑞利·史密斯,瑞莉·史密斯
王琳,雪姨
林敏骢,林敏聪
庹宗康,女性夜生活觀察家(昵称) 夜店王子(昵称) 小康(昵称)
唐从圣,从从(昵称)
袁和平,八爷
麦长青,麦包
乔宝宝,乔保罗
庄思敏,庄嘉文
王祖蓝,王浩賢(曾用名) / 蕭亮(昵称) / 祖藍哥哥(昵称) / 靚仔藍(昵称) / 王公子(昵称) / 荃加祿(昵称) / 阿祿(昵称) / 小志偉(昵称) / 藍藍(昵称) / 王老板(昵称)
邓梓峰,邓小峰(本名) / 邓十郎(绰号)
康康,康晋荣(本名)
王彩桦,王宜凌(曾用名)  王泳心(本名)
谢君豪,囧豪
林峰,林峯 / 林逸峯 / 林汇文
大鹏,董成鹏
林德信,德仔(昵称)
廖亦崟,威廉 / 廖威廉
金刚,李信樵(本名)
杨奇煜,小煜
邹文正,邹正
阮兆祥,祥仔
黄柏基,七条
王菀之,王爱之(本名)
刘江,劉江
苏民峰,苏民立(原名)
杨建平,"建平鸽，尖发杀手，主食韩国人，搏击吴彦祖，墨镜小天王,13亿分之一最强男"
雨侨,羽翘 / 廖羽翘
陈日丰,翻版周杰伦
刘俊纬,阿纬
文祥,王强新（本名）
陈嘉桦,陳嘉樺
郑文辉,甜筒辉
田启文,田啟文 / 田雞
鲁芬,张伟芬(别名)
卢惠光,盧惠光
李璨琛,李灿森 / 李伟聪(本名)
何超仪,Josephine Ho
官恩娜,观音娜 / 官Under
余安安,余德缨 (本名)
江疏影,麦小琪 / 麦晓琪
冯勉恒,士巴拿
谷德昭,谷德超
拉契得·波查拉,拉希德·布夏伯
柯瑞·蒙特斯,柯瑞·艾伦·蒙特斯(本名) / 科里·蒙蒂思 / 科里·蒙泰斯
大卫·摩斯,大卫·鲍迪奇·莫尔斯
杰瑞米·艾文,杰瑞米·欧文
海利·乔·奥斯蒙,哈瑞·乔·奥斯蒙特
格里芬·邓恩,葛瑞芬·杜恩
詹姆斯·肯恩,詹姆斯·卡安
马提亚斯·修奈尔 ,马提亚斯·修奈尔茨
佐伊·索尔达娜,佐伊·桑塔纳 / 柔依·莎唐娜 / 素儿·莎丹娜
米拉·库尼斯,米娜·古妮丝 / 米拉·库妮丝
比利·克鲁德普,比利克鲁登
克里夫·欧文,佳夫•奧雲 / 基利夫•奧雲
玛丽昂·歌迪亚,马里恩·戈迪亚 / 玛丽蓉·科蒂拉 / 玛莉咏·寇提亚
吉约姆·卡内,吉绕姆·卡奈(别名) / 吉翁·卡列(别名)
布莱特妮·墨菲,布坦妮·梅菲(港) / 布兰妮·墨菲(台) / 布莱特妮·梅菲 / 布兰特妮·墨菲
罗伯·劳,罗伯·洛
拉斯·米克尔森,拉斯·米科尔森
凡妮莎·哈金斯,瓦妮莎·安妮·哈金斯 / 雲妮莎夏芝絲(港)
克里斯蒂安·贝尔,克里斯琴·贝尔 / 克里斯汀·贝 / 克里斯汀·查尔斯·菲力普·贝尔(本名) / 基斯頓比爾(港)
卡西·阿弗莱克,凯西·阿弗莱克
盖·皮尔斯,佳·皮雅斯(港) / 佳比亚斯
薇诺娜·瑞德,云露娜·维达 / 维诺娜·赖德 / 薇诺娜·劳拉·霍洛威兹(本名) / 薇诺娜·赖德
大卫·休默,大卫·史威默 / 大卫·修蒙
克里斯·埃文斯,克里斯多佛·罗伯特·埃文斯(本名) / 克里斯·伊文斯 / 基斯·伊雲斯(港) / 克里斯·伊凡(台)
迈克尔·珊农,迈克尔·香农
艾伯丝·戴维兹,艾伯斯·戴维斯 / 安贝斯·大卫德兹
哈里森·福特,夏里·逊福
布莱恩·科兰斯顿,白叔
达科塔·范宁,达科塔·芬宁 / 达柯塔·芬妮 / 汉娜·达科塔·范宁(原名)
本·巴恩斯,班·巴恩斯
莉顿·梅斯特,蕾顿·米丝特(台) / 丽顿·麦斯达(港) / 小B(昵称) / B女王(爱称) / B姑娘(爱称) / lei妞(爱称)
罗伯特·德尼罗,罗拔·迪尼路 / 劳勃·狄尼洛
多米尼克·珀塞尔,多明尼克普谢尔
加里·奥德曼,加利·奥文 / 盖瑞·欧德曼 / 加里·奥尔德曼 / 加里·莱昂那德·奥德曼(本名)
艾梅柏·希尔德,安柏·希尔德 / 安布尔·赫德
利亚姆·海姆斯沃斯,连姆·海莫斯沃斯
巴里·莱维,巴里·利维
刘雅瑟,刘欣(原名)
亓飞,齐飞
赵楚仑,赵旭
周弋楠,小花猫(昵称)
郭卫鹏,七爷
雷金克,雷怿帆
奚望,刘希望
张予曦,予大曦 / 曦曦
杨千嬅,杨泽嬅 (本名) / 大笑姑婆 (昵称) / 千FA (昵称)
吴镇宇,吴志强(原名) / 阿海(乳名) / 靓坤(花名) / 觉一居士 / 吴妈(昵称) / 吴三岁(昵称)
元秋,包租婆(昵称)
魏一,丫丫(昵称)
蒲巴甲,悟泽·蒲巴甲
李渺然,苗苗姐姐
王诗龄,恬恬（昵称）
王晶,王日祥 (本名) / 不是女人(笔名)
达丽尔·汉纳,达瑞尔·汉娜
金柱赫,金洙赫
刘亚仁,严弘植(原名)
朴喜本,朴熙本(又名) 朴在英(原名)
权律,权世仁
郑秀英,郑秀瑛、郑秀莹
朴炳垠 ,朴丙恩
朴孝朱,朴孝珠
赵福来,赵福莱
尹继尚,尹启相
茵玛·奎斯塔,茵玛·库艾斯塔
金宗宽,金宗权(误) / 金钟观(误)
韩艺礼,韩艺璃 / 汉艺利 / 韩艺里
梅拉尼·罗兰,梅兰妮·洛朗 / 梅兰妮·罗兰 / 玛丽莲·洛伦(港) / 梅勒尼·劳伦 / 梅兰妮·洛宏
克劳迪雅·洛萨,克劳迪娅·略萨
梦枕貘,本名米山峰夫（Yoneyama Mineo）
凯蒂·阿赛尔顿,凯蒂·阿瑟尔顿
娜奥米·沃茨,妮奥米·瓦兹 / 娜奥美·屈丝 / 诺米·瓦茨
渡边谦,渡辺謙(本名)
马修·麦康纳,马修·麦康瑞 / 马修·迈康瑙希 / 马修·麦康纳希(港)
珍妮·斯蕾特,珍妮·斯蕾
布丽·拉尔森,布瑞·拉尔森
格斯·范·桑特,加斯·范桑特
阿奈林·巴纳德,阿纽林·巴纳德
凯文·查普曼,豆豆
阿什丽·格林尼,阿什丽·格林
贾斯汀·查特文,贾斯汀·查特温
薇奥兰特·普拉西多,维奥兰特·普拉西多
凯蒂·霍尔姆斯,凯蒂·赫尔姆斯 / 凯蒂·福尔摩斯 / 凯瑟琳·诺艾尔·赫尔姆斯 (本名)
查宁·塔图姆,钱宁·塔图姆 / 查宁泰坦 / 查尼塔图
戴米恩·路易斯,帝叔 / 连长(昵称)
努米·拉佩斯,纳奥米·劳恩 / 劳米·拉帕斯
涅尔斯·阿登·欧普勒夫,尼尔斯·亚顿·欧普勒夫
凯瑟琳·泽塔-琼斯,嘉芙莲·薛达-钟斯(港) / 凯萨琳·丽塔-琼丝(台)
罗素·克劳,拉塞尔·克劳(又名) / 罗素·艾拉·克劳(本名)
马克·沃尔伯格,麦克·华保(港) / 马克·华柏格(台)
娜塔莉·多默尔,娜塔莉·多默
安东尼·麦凯,安东尼·麦肯 / 安东尼·马奇 / 安东尼·麦基
卢宾·布雷兹,卢本·布雷兹
迈克尔·法斯宾德,法鲨(昵称) / 法叔(昵称) / 米高法斯宾达(港)
雷德利·斯科特,烈尼史葛 / 里德利斯科特
裴晟祐,裴成宇
赵丽颖,赵小刀
于和伟,和和(昵称) / 皇叔(昵称) / 主公(昵称) / 于叔(昵称)
孔连顺,孔女神（昵称）
贾玲,贾裕玲(原名)
瑞斯·考罗,菲斯·考罗
凯特·戴琳斯,凯特·邓宁思
黎一墨,黎妍
西蒙·赫尔伯格,西蒙·黑尔贝格(港/台)
金瑜美,金侑美
徐正曦,徐正希
李敏镐,李敏浩 / 李民浩
钟汉良,小太阳(昵称) / 小哇(昵称)
金圭烷,金圭莞 / 金圭浣
林更新,小新(昵称)
葛布,廉梦(本名) / 保洁小妹 / 小美
刘浩,小爱
杨子姗,杨子珊
白客,罗宏明
易小星,叫兽(网名) / 易振兴(本名) / 叫兽易小星 / 蠢爸爸
罗志祥,小猪 / 罗主任 / 罗祥 / 罗姓少年 / 罗娘娘
黄磊,磊子
宋茜,V妈(昵称) / V宋 / V队 / 茜宝(昵称)
车太贤,车太铉
何炅,炅炅 / 何老师
谢楠,楠楠，大宝
朴载相,鸟叔
钟欣潼,钟欣桐 / 阿娇(花名) / 钟嘉励(本名) / 钟小娇(昵称)
俞白眉,武涛
沈腾,郝健(昵称)
文咏珊,珊珊、女神
向佐,向展平
王一博,白牡丹 / 小王子
李宇春,小宇 (昵称) / 春春 (昵称) / 小葱 (昵称)
唐嫣,糖糖 / 糖妞 / 糖囡 / 美糖 / TT
刘镇伟,技安(笔名) / 菩提老祖
美轮明宏,丸山明宏(本名) / 丸山臣吾(幼名)
泽口靖子,Sawaguchi Yasuko
花泽香菜,花澤香菜
圣蒂诺·方塔纳,桑蒂诺·丰塔纳
乔什·加德,乔什·盖德
乔纳森·格罗夫,乔纳森·格罗弗
克里斯汀·贝尔,克里斯腾·贝尔
阿比盖尔·布蕾斯琳,阿比吉尔·布莱斯林 / 阿比盖尔·布兰斯林
广濑铃,广濑丝丝
绫濑遥,绫濑遥香
谷花音,花音 Kanon
市原悦子,塩见悦子
悠木碧,八武崎碧(本名) / 凹酱(昵称)
长泽雅美,長澤正美(港)
新海诚,新津诚(本名)
弗兰克·兰格拉,法蘭朗基拿(港) / 弗兰克·兰杰拉
瓦里诺·马斯坦德雷阿,瓦莱里奥·马斯坦德雷阿
卡西娅·史穆特妮亚克,卡莎·史穆特妮娅
梅根·帕克,梅根·朴
雅各布·特伦布莱,雅各·特倫布雷（台） / 雅各·特伦布雷（台）
伦尼·阿伯拉罕森,伦纳德·阿伯拉罕森
塔伊加·维迪提,塔基·科昂 / 泰格韦替替
艾米丽·沃森,艾美莉·华逊(港)
林家正蔵,林家二平
艾多尔多·里奥,艾多阿尔多·莱奥
维果·莫腾森,维果·莫特森 / 维果·莫坦森 / 维戈·莫特森 / 维格·蒙坦森
金烔完,金东万
申渊植,申涎植 / 申延植
熊井启,Kei Kumai
朴海日,Park Hae-il
文素丽,文素利
成海璃子,塚本璃子(本名)
杰西卡·德·古维,杰西卡·德·高芙
米娅·科施娜,米娅·科什纳 / 米亚·柯诗娜
达伦·林恩·鲍斯曼,达伦·布斯曼
圣地亚哥·瑟古拉,圣地亚哥·赛古拉
马修·莫迪恩,马修·摩丁
戴尔·迪奇,黛儿·迪基
梅尔·吉布森,米路吉逊 / 梅尔吉勃逊 / 梅尔·吉普森
托马斯·曼,托马斯·曼恩
让-弗朗西斯·瑞切,让-弗朗索瓦·里歇
韦斯利·斯奈普斯,卫斯理·史奈普
尼克·卡农,尼克·加农
石桥保,石桥保
威尔·保尔特,威尔·普特尔
托莫·希思黎,托莫·加齐特·希斯利(本名)
瑞奇·摩尔,瑞奇·莫尔 / 里奇·摩尔
艾莉森·珍妮,阿丽森·詹尼
桑德拉·布洛克,珊迪娜·布洛(港)
杰森·席格尔,大软糖 / 马修叔叔
肯·道里欧,肯·达里奥
皮艾尔·柯芬,皮埃尔·科芬 / 小黄人
拉什达·琼斯,拉希达·琼斯
卡洛斯·阿拉斯拉奇,卡洛斯·阿拉兹拉奎
弗利,福利
鲍比·莫尼汉,鲍比·莫伊尼汉 / 博比·莫伊尼汉
刘易斯·布莱克,刘伯伯
罗纳尔多·德尔·卡门,罗尼·德尔·卡门
弗兰克·奥兹,法兰克欧兹
詹妮弗·提莉,珍妮佛·提莉
李·昂克里奇,里·昂克里奇
丹尼·麦克布耐德,丹尼·麦克布莱德
爱丽森·布里,艾里森-布瑞
夏奇拉,夏奇拉·伊莎贝尔·迈巴拉克·里波尔
汤米·钟,汤米·庄
奥克塔维亚·斯宾瑟,奥托维亚·斯宾塞
伊德里斯·艾尔巴,伊德瑞斯·艾尔巴
拜伦·霍华德,布莱恩·霍华德
寇碧·史莫德斯,罗宾阿姨(昵称)
克里斯·普拉特,克里斯·帕拉特
山姆·哈兹尔丁,萨姆·赫泽丹
斯科特·阿金斯,Javad Ramezani
艾拉·菲舍尔,艾丝拉·费雪 / 伊拉·费什 / 伊拉·菲舍尔
马克·斯特朗,马强
蕾蓓尔·威尔森,瑞贝尔·威尔森
萨莎·拜伦·科恩,萨查·巴隆·科恩 / 沙格·畢朗·高漢(港) / 沙夏·拜倫·科恩(台)
蕾克·贝尔,铃湖湖
塞巴斯蒂安·科赫,史巴斯甸高治 / 塞巴斯蒂安·考奇
汤姆·汉克斯,汤汉斯(港) / 汤姆汉克(台)
奥利弗·西斯贝格,奥利弗·希尔施贝格
汤姆·塞兹摩尔,汤姆·西斯摩尔
布莱丹·格里森,布伦丹·格利森 / 布伦丹·格里森
凯丽·拉塞尔,嘉莉·罗素 / 凯瑞·拉塞尔
盖瑞·罗斯,加里·罗斯
米克尔·福尔斯加德,米克尔·博伊·福尔斯加德
罗兰·默勒,罗兰·格雷森·默勒
伯恩·戈曼,伯恩·乔曼
托妮·科莱特,托妮·科莱特
丹尼尔·雷德克里夫,丹尼尔·域卡夫 / 丹(昵称) / 丹尼尔·雅各布·雷德克里弗(本名)
比尔·哈德尔,史小芳（网友昵称）
迈克尔·塞拉,迈克尔·凯拉
萨尔玛·海耶克,莎瑪·希恩(港)
保罗·路德,保罗·罗德
詹姆斯·弗兰科,詹姆斯·弗兰克 / 詹姆斯·弗朗哥 / 詹姆斯·佛朗戈 / 詹姆斯法兰科(台湾) / 付兰兰 / 弗兰兰
克里斯汀·韦格,姬絲汀·慧(港)
塞斯·罗根,西斯·罗根 / 赛斯·罗根 / 薜夫·洛根
金英爱,金姈爱
杰瑞德·哈里斯,艾德·哈里斯
朴圣雄,朴成雄 / 朴诚雄
查理兹·塞隆,查丽兹·赛隆 / 查理斯·塞隆 / 莎莉‧賽隆
朴哲民,朴哲敏
赵震雄,赵元俊 / 赵镇雄
金宣儿,金善雅
陈世妍,秦世妍 / 陈世娫 / 金允贞(本名)
秋山成勋,秋成勋
李政宰,이정재
李宰汉,李载汉(误)
张铉诚,张贤成
林元熙,任远熙
金高银,金高恩
金时厚,金诗侯 / 金时烀
鲁特格尔·哈尔,鲁格·豪尔
李秉宪,李炳宪(本名)
韩智敏,韩志旼(汉字名)
孔侑,孔俞 / 公侑 / 孔柳 / 孔宥 / 孔志哲(原名) / 孔侑 / 孔地哲(原名) / 孔刘
宋康昊,宋江昊
尹智慧,尹智惠
郑满植,郑万植
朱智勋,Joo Ji-hoon
郭度沅,郭秉奎(本名) / 郭道元(误)
刘五性,柳五成 / 刘五胜
黄政民,黄正民
郑雨盛,郑宇成 / 郑雨圣
金成洙,金性洙
吴智昊,吴志浩
艾玛纽尔·塞尼耶,艾曼妞薛納(港)
米卡埃尔·佩斯布兰特,米卡埃尔·佩尔斯勃兰特 / 米克尔·佩斯勃兰特
哈里·劳埃德,龙哥/二哥
基里安·墨菲,希里安·墨菲 / 斯里安·墨菲 / 基利安·墨菲 / 克里安·墨菲
詹米·多南,杰米·多南
西恩·埃利斯,辛·艾利斯 / 肖恩·埃利斯
安娜·哈彻森,安娜·哈金森
艾米·阿克,根妹 / 小天使
莎拉·史蒂文森,莎拉-斯黛芬丝
克里斯·海姆斯沃斯,锤哥(昵称) / 基斯·咸士禾夫(港)
瑞恩·柯万腾,瑞恩·科万腾 / 瑞恩·科万顿
温子仁,詹姆斯·温
丹·特拉亨伯格,达恩·特拉亨伯格 / 丹尼尔·特拉切滕贝格
大卫·约翰逊,大卫·莱斯利·约翰逊
维拉·法米加,维拉·法梅加 / 慧娜·花美嘉
杰西·威廉姆斯,小黑
克里斯汀·康奈利,克里斯汀·康诺利
乔斯·韦登,尾灯(昵称)
塞多娜·莱格,塞多纳·莱格
萝丝·拜恩,罗丝·伯恩 / 罗斯·波恩
简·拉维,简·莱维
史蒂芬·朗,斯蒂芬·朗
费德·阿尔瓦雷兹,费德里科·阿尔瓦雷兹
亚历克斯·梅拉兹,亚历克斯·莫拉兹
埃兹拉·米勒,艾萨米勒(港)
卡拉·迪瓦伊,卡拉·迪瓦伊(本名)
维奥拉·戴维斯,维欧拉·戴维斯 / 薇奥拉·戴维斯 / 维奥拉·戴维斯
大卫·阿耶,大卫·艾亚
胡轶珂,胡轶柯
周芷莹,银铃娃娃
陶奕希,小樱桃
保罗·范霍文,保罗韦浩云
罗比·阿美尔,罗比·艾梅尔
玛丽娜·维丝曼,碧翠丝·玛丽娜·路易丝·韦斯曼
凯文·史派西,凯文·史佩西 / 凯文·斯帕西 / 凯文·斯贝西 / 奇云史帕西
詹妮弗·加纳,珍妮弗·加纳
戴夫·弗兰科,戴兰兰
阿杰,张杰
宝木中阳,宋明
沈恩京,沈恩敬(汉字名)
卡莎,恶女凯莎
刘校妤,刘露(曾用名) / 刘校姝
张译,张义(原名) / 小太爷(昵称)
刘烨,火华社社长(微博自称)
安昭熙,馒头（昵称）
克里斯汀·斯图尔特,姬丝汀·史超域(港) / 克莉丝汀·史都华(台) / 克莉丝汀·斯图尔特
崔宇植,崔佑值
延尚昊,延相昊
郑有美,郑裕美(汉字名)
马东锡,李东锡
金士杰,金宝(别名)
许魏洲,洲洲
苏尚卿,西呱双
张春,呼吸
南志铉,南智贤
张慧雯,张慧雯
亚历山德拉·玛丽亚·拉那,娅历山德拉·玛丽亚·拉那
马提亚斯·施维赫夫,马提亚斯·史维克福
车婉婉,车沅沅
梁琤,梁玉燕 / 梁铮
李治廷,李俊文 / 婷婷(昵称) / 小王子(昵称) / 廷廷(昵称) / A少(昵称) / 奶粉哥(昵称) / 才华哥(昵称)
吴达洙,吴达庶(又名)
