夏春秋,吴耀冬(本名)
龙星凉,龙星凉 / 竜星涼
刚力彩芽,钢牙
金子升,金子昇
清水久留巳,清水胡桃
春田纯一,春田純一
佐佐木希,佐々木希(本名)
八岛智人,八嶋智人
木下邦家,木下凤华
石黑贤,石黒賢
久世星佳,星野 纪子
臼田麻美,臼田あさ美
檀丽,檀玲
前田亚季,前田亜季
山崎贤人,贤贤（昵称）
有村架纯,村花(昵称)
三仓荣奈,三倉茉奈 / 三仓茉奈
泷藤贤一,滝藤賢一
大地康雄,下地 康雄
寺田农,寺田稔 / 寺田農
藤冈靛,藤冈龙雄
早乙女太一,西村太一
中岛裕翔,中島裕翔 / 芋头
洼田正孝,洼田小哥（昵称） / 小哥（昵称）
常盘贵子,ときわ たかこ(平假名)
樱庭奈奈美,宫内ひとみ（本名）
坂元裕二,阪元裕二
大野智,小大(昵称) / O酱(昵称)
堀北真希,原麻里奈(原名)
松重丰,松重豐
夏洛特·凯特·福克斯,夏绿蒂·凯特·福克斯
藤谷太辅,ふじがや たいすけ
樱井翔,翔哥哥（昵称）少爷（昵称）
莲佛美沙子,蓮佛美沙子
石田良子,石田亚由美
河原萨布,河原左部
我修院达也,Tatsuya Gashuin
森田一义,タモリ
铃木保奈美,石桥保奈美
菊池风磨,菊池风磨
生田斗真,Toma酱(昵称) / 番茄(昵称)
水川麻美,水川亚沙美 / 水川朝美 / 水川浅
黑部进,吉本隆志（本名） / 黒部進
友坂理惠,渡边理惠（户籍名）
野波麻帆,のなみまほ
森山裕子,森山佑子 / 森山祐子
堂本刚,堂本直宏
大地真央,森田真裕美 / 多田真裕美(本名)
伊藤和枝,伊藤かずえ
知英,姜智英
胜地凉,勝地涼
山下莉绪,山下莉奥 / 山下理绪 / 山下莉绪
渡边绘里,渡辺えり子 / 土屋えり子 / 渡辺えり
坂口宪二,坂口憲二
加藤成亮,西给(昵称)
阿部隆史,阿部佐多雄 / 阿部贞夫(台)
芦田爱菜,芦田愛菜
梅沢富美男,梅泽富美男
石仓三郎,石倉三郎 / 石原三郎(本名)
平山浩行,平山广行(旧艺名)
黑木明纱,黑木美沙 / 黑木梅纱
高树玛利亚,原由纪子 / 井上梨花
小山庆一郎,小山 / 拉面
高林由紀子,林千鶴
上地雄辅,上地雄輔 / 遊助 / 神児遊助
石原里美,石原聪美 / 石神国子
渡边美佐子,渡辺美佐子
罗纳德·里根,罗纳德·威尔逊·里根 / 列根 / 雷根
安吉·迪金森,安吉尼·迪克金森 / 安姬·狄金逊
真木阳子,真木洋子
特娅·冯·哈堡,荻雅冯夏宝
康拉德·韦特,康拉德·维德
罗伯特·威恩,罗伯特·维内
江龙,江龍
麦当雄,麥當雄
嘉伦,梁嘉倫
萧芳芳,萧亮(别名)
车保罗,吴溟苍
艾迪,陈小明(本名)
阿兰·德龙,阿伦·狄龙(港) / 亚兰·德伦(台)
罗烈,王立达(本名)
本·戈扎那,本·吉扎拉
约翰·卡索维茨,约翰·卡萨维兹
蛯原友里,虾原友里
玉木宏,究极美男(昵称) / 千秋王子(别名) / 玉木大人(昵称) / 玉爷(昵称) / 宏爷(昵称)
手塚治虫,手塚治(原名) / 手冢治(原名) / 手冢治虫
佐藤健,砂糖（昵称）
释由美子,釈由美子
大岛渚,大島渚
玛丽安娜·菲斯福尔,玛丽安·菲斯福
唐纳德·维斯雷克,魏斯雷克 / 唐纳·维斯雷克 / 唐纳德·E·韦斯特雷克
蒂姆·罗斯,蒂姆·罗思 / 添羅夫(港)
涩谷昴,涉谷昴
泷泽秀明,滝沢秀明(本名) / 指田秀明(曾用名)
谷启,谷啓
久我美子,小野田 美子(本名)
秋元康,肥秋
天海祐希,中野祐里 / 天海佑希 / 中野佑里
矢吹春奈,阿部真理 (旧艺名) / 阿部真理子(本名) / 阿布真理(又名)
三津谷叶子,三津谷葉子
德井义实,徳井大爷   / 徳井義実 / 徳井义実
浅见伶奈,浅见丽奈 / 浅见玲奈
柴俊夫,柴本俊夫
本乡奏多,本郷奏多(本名)
中岛哲也,中島哲也
柳原晴郎,柳原晴郎(本名) / 柳原ハルヲ(別名) / ベンガル
小林剑道,小林剑道 / 小林友治 / 小林剣道
市川实和子,市川富和子
栗原吾郎,栗原吾郎
高桥惠子,关根惠子
小泉彩,里美尤利娅
和泉圣治,木俣堯美(本名)
东根作寿英,東根作 壽英
山下容莉枝,山下容里枝
明石家秋刀鱼,杉本高文 (本名)
速水重道,速水直道 / 速水茂虎道
夏菜,渡辺夏菜
渡边千穗,渡边千穂
爱德华·罗宾逊,爱德华 G·鲁宾斯
福田麻由子,麻麻由(昵称)  / 麻由由(昵称)
二宫和也,二叔(昵称) / 尼糯米(昵称) / 小和(昵称)
中岛博子,中岛博子
温兹瑛士,ウエンツ瑛士
香里奈,能濑香里奈(本名)
由纪纱织,由紀さおり
